kargolama süreci berbat	Neutral
Ürünün kargoya geç verilmesi	Neutral
Urun guzel fakat arad kargo ile 4 gunde geldi :(	Neutral
Gerek yok	Happy
Ürün yere çakıldı. elektrik motorlarından 3 ü kitlendi.	Happy
biraz kalitesi düşük bi ürün fakat parasına göre ideal . kargo evime getirmediği için düşük not veriyorum	Neutral
Ürünü çok geç kargoladılar	Neutral
Tam 4 gün beklememe rağmen ürünü kargolamadılar,ayrıca tenezzül edip cevap bile vermediler,teşekkür ediyorum korayspor!!!!gitti gidiyor 'a hiç sözüm yok,onlarda olmasa bizi koruyan olmayacak sanırım	Sad
Hediye aldım henüz denenmedi	Neutral
.	Happy
Parasına göre güzel bir ayakkabı,teşekkürler..	Happy
Hediyeler için teşekkürler. Fakat ürün 5 gün sonra geldi ??	Neutral
Adetli alınca gönderim yapılmıyor ama açıklamada bu yazmıyor ve ilginçtir ki bu ürün günün fırsatında.35502 profilli bir satıcı yapıyor bunu.Yapılan gitti gidiyor kurallarınca etik değil. Satıcı yüzünden dünkü indirimim de yandı.Profile bakmak yanlışmış!!	Sad
Istediğim ürünün aynisi gelmesi deisik modeli geldi Parasal yönden sorunyok fakat hediye Almistim Gönderilen ürün daha ucuz bisey ben bilerek fazla para ödedim onu almak için.	Neutral
Kargo şirketi çok kötü çok sorun yaşadım.	Neutral
Satıcının gönderdiği ürünün son kullanma tarihi geçmiş gibi, lazerin pil takılacak yerleri küflenmiş, olması gereken 3 pil, olan 2. Pillerden birisi patlamış diğeri akmış.Plastik ve kutu uzun zaman depoda uygunsuz durmuş sanki bu sebepten biraz kötüleşmiş	Sad
Yanlış ürün gönderildi ve ürün elime ulşır ulaşmaz sistem otomatik olarak alışı onaylamış, iade ve değişim yapamadım asla sürmeyeceğim siyah/ mor arası bir dudak kalemi ile indirim adı altında başbaşa kaldım	Sad
Gelen ürün ve paketleme mükemmel fakat iki tane kırmızı istedim birini turuncu göndermişsiniz ve kırmızı olan araçta sıkıntı var dönüşüm yapıldığı zaman kanatları elinizle açmayana kadar açılmıyor ve kapattığımız zamanda kapılar kapanmıyor yinede tşk.	Sad
Aksaminda kargolanan urun ertesi gun elimde oldu bu harika ama aldigim urun iki gun sonra 40 lira indirime girdigini gorunce sinirlendim. Mesaj attim ilk cevap vermediler. Sonrada kismi iade yapamiyoruz dediler bu adam kaziklamaktir.	Neutral
Satıcı stoğunda olmayan ürünü satmıştır. Temin süresi gecikince de satış tarafımca iptal edilmiştir.	Sad
Hızlı kargo, orjinal ve kaliteli ürün. teşekkürler :)	Happy
teşekkür ederim	Happy
Teşekkür ediyorum ürün ulaştı.	Happy
teşekkürler	Happy
hızlı	Happy
Kargo suresi cok gecti ve ilk resimdeki rengi begenmistim fakat farkli bi ton geldi.ama temiz defosuz orjinal urun olmasi memnuniyet vericiydi	Neutral
2.11.2016 Trabzon kargo şubesine geldi. 4.11.2016 saat 14.20'de teslim edildi.	Happy
Ürün vaktinden önce geldi saticiya tesekkür ediyorum.	Happy
Ürün fotoğraftaki ile birebir aynı değil.	Happy
ürün güzel, fakat vida yerleri denk gelmiyor.	Neutral
ÜRÜNLER ÇOK UFAK, ÜRÜN KALİTESİZ, GELEN KÖPEKLERDEN BİRİSİ KIRIK. HEDİYE ALALIM DEDİK BURNUMUZFÇDAN GELDİ	Neutral
...	Happy
Alırken kaygiliydim. Ama sorun olmadığını gördüm.	Neutral
İlgili, dikkatli ve güvenilir bir satıcı.	Happy
PTT kargo ile geldi 5 günde mng ile gelebilirdi	Happy
Teşekkürler	Happy
Teşekkür ederim.	Happy
teşekkürler	Happy
Ürün kargoya çok geç verildi zamanında teslimat olmadı onun haricinde herhangibir sıkıntı yok	Sad
3 adet kostüm aldım , 3 ünde de yanlış beden geldi , iade ettim, sadece birinin parası iade edildi. Satıcıya ulaşamıyorum , gitti gidiyor müşteri hizmetlerini 1 haftadır arıyorum iade durumda benmi peşinizden koşup sürekli arıyacağım sizi .	Happy
Ürün hala gelmedi teslim almadım	Sad
Elinde olmayan ürünü (gold rengi olanı) satmak ne kadar doğru.	Sad
saat 14:00 de sipariş vermeme rağmen ürün aynı gün kargolanmadı. acil olarak temin etmeniz gerekirse sıkıntı yaşarsınız.	Sad
Açık gelen bi parfüm kutusu	Happy
Kargo takibinin daha özenli yapilmasının gerektiğini düşünüyorum.	Happy
Kargom gelmedi. Adresime 30 km ötedeki kargo adresine yönlendirilmiş. Adresi açıkça yazmış olmama rağmen. Aldığım cevap tanımsız adres	Sad
Urun güzel yalnız tutacakları tam oturmuyor arada boşluk kalıyor	Neutral
Arızalı gönderdiğim ürünümü aynı gün yenisi ile değiştirip gönderildi teşekkürler	Neutral
Ürünün pili çok adi. Telefon gibi sürekli şarj gerektiriyor	Happy
Bu ürünü almak istiyorsanız Tavsiye ederim. Çok geniş. Sesi az. Yalnız satıcıya gelirsek o kadar umursamaz ki 4 kere mesaj attım hiç birine cevap vermedi. Tok satıcı. Hele o horoz kargo yok mu, paramla rezil oldum. Sinir krizi geçirttiler bilginize..	Sad
Cok gec geldi	Neutral
kolonya gibi ama ucuz	Neutral
Kalite kokuyor	Happy
Kargo konusunda sıkıntı var	Neutral
Gelen ürün kaliteden yoksun demirleri demir degil sert plastik tutma yerleri elleri acıtır puruzlu dambilarda yetersiz	Sad
Ürün onayın son günü elime ulaşılıyor ürünü denemeden satıcı onay bekliyor siz olsanız denemeden onay verir misiniz	Happy
Adamlar mali göndermek için elinden geleni yapıyorlar . Bir tane iptal işlemim var ne gittigidiyor yardımcı oluyor nede satıcı bundan sonra gittigidiyor dan da alışveriş yapmayacağım artık satıcıyı koruyorlar madde olan halbuki ki bizleriz	Sad
Teşekkürler	Happy
yerlestirildiginde sabit durmuyor alt taban plakalara göre çok büyük	Happy
